Sentence	entity_1	entity_2	json	split
We studied the impact of two ant species common in Central Europe, Myrmica rubra and Lasius niger, on an arthropod community.	Myrmica rubra,67,80,Organism/Species	Lasius niger,85,97,Organism/Species	"[{""token"": ""Myrmica rubra"", ""start_span"": 67, ""end_span"": 80, ""type"": ""Organism/Species""}, {""token"": ""Lasius niger"", ""start_span"": 85, ""end_span"": 97, ""type"": ""Organism/Species""}]"	train
We tested why thrushes Turdus spp. are extremely rarely parasitized by common cuckoos Cuculus canorus despite breeding commonly in sympatry and building the most conspicuous nests among forest - breeding passerines.	common cuckoos,71,85,Organism/Species	Cuculus canorus,86,101,Organism/Species	"[{""token"": ""common cuckoos"", ""start_span"": 71, ""end_span"": 85, ""type"": ""Organism/Species""}, {""token"": ""Cuculus canorus"", ""start_span"": 86, ""end_span"": 101, ""type"": ""Organism/Species""}]"	train
Pterin - based ornamental coloration predicts yolk antioxidant levels in female striped plateau lizards ( Sceloporus virgatus).	striped plateau lizards,80,103,Organism/Species	Sceloporus virgatus,106,125,Organism/Species	"[{""token"": ""striped plateau lizards"", ""start_span"": 80, ""end_span"": 103, ""type"": ""Organism/Species""}, {""token"": ""Sceloporus virgatus"", ""start_span"": 106, ""end_span"": 125, ""type"": ""Organism/Species""}]"	train
Female striped plateau lizards ( Sceloporus virgatus) develop pterin - based orange colour patches during the reproductive season that influence male behaviour and that are positively associated with the phenotypic quality of the female and her offspring.	striped plateau lizards,7,30,Organism/Species	Sceloporus virgatus,33,52,Organism/Species	"[{""token"": ""striped plateau lizards"", ""start_span"": 7, ""end_span"": 30, ""type"": ""Organism/Species""}, {""token"": ""Sceloporus virgatus"", ""start_span"": 33, ""end_span"": 52, ""type"": ""Organism/Species""}]"	train
The findings were presented to a working group for pneumococcal cluster guidelines and used to develop key recommendations on the management of clusters that supported prompt use of amoxicillin or azithromycin chemoprophylaxis, pneumococcal vaccination for close contacts, and implementation of infection control measures.	pneumococcal,51,63,Organism/Species	pneumococcal,228,240,Organism/Species	"[{""token"": ""pneumococcal"", ""start_span"": 51, ""end_span"": 63, ""type"": ""Organism/Species""}, {""token"": ""pneumococcal"", ""start_span"": 228, ""end_span"": 240, ""type"": ""Organism/Species""}]"	train
The clown anemonefish, Amphiprion percula, forms simple societies that live in close association with sea anemones, Heteractis magnifica.	Amphiprion percula,23,41,Organism/Species	Heteractis magnifica,116,136,Organism/Species	"[{""token"": ""Amphiprion percula"", ""start_span"": 23, ""end_span"": 41, ""type"": ""Organism/Species""}, {""token"": ""Heteractis magnifica"", ""start_span"": 116, ""end_span"": 136, ""type"": ""Organism/Species""}]"	train
The recent discovery of same - sex mating in the human fungal pathogen Cryptococcus neoformans and the revelation of its impact on the Cryptococcus global population structure provide a platform to elucidate the molecular mechanisms and significance of unisexual mating.	human,49,54,Organism/Species	Cryptococcus neoformans,71,94,Organism/Species	"[{""token"": ""human"", ""start_span"": 49, ""end_span"": 54, ""type"": ""Organism/Species""}, {""token"": ""Cryptococcus neoformans"", ""start_span"": 71, ""end_span"": 94, ""type"": ""Organism/Species""}]"	train
To examine how the isolation of a food web affects its structure, we construct local food webs of specialist herbivores and their natural enemies on 82 individual oaks ( Quercus robur) growing in different landscape contexts.	oaks,163,167,Organism/Species	Quercus robur,170,183,Organism/Species	"[{""token"": ""oaks"", ""start_span"": 163, ""end_span"": 167, ""type"": ""Organism/Species""}, {""token"": ""Quercus robur"", ""start_span"": 170, ""end_span"": 183, ""type"": ""Organism/Species""}]"	train
Comparative immunofluorescence and ultrastructural analysis of microtubule organization in Uronema sp., Klebsormidium flaccidum, K. subtilissimum, Stichococcus bacillaris and S. chloranthus ( Chlorophyta).	Klebsormidium flaccidum,104,127,Organism/Species	Stichococcus bacillaris,147,170,Organism/Species	"[{""token"": ""Klebsormidium flaccidum"", ""start_span"": 104, ""end_span"": 127, ""type"": ""Organism/Species""}, {""token"": ""Stichococcus bacillaris"", ""start_span"": 147, ""end_span"": 170, ""type"": ""Organism/Species""}]"	train
A detailed comparative examination of microtubule ( MT) organization in interphase and dividing cells of Uronema sp., Klebsormidium flaccidum, K. subtilissimum, Stichococcus bacillaris and S. chloranthus was made using tubulin immunofluorescence and transmission electron microscopy ( TEM).	Klebsormidium flaccidum,118,141,Organism/Species	Stichococcus bacillaris,161,184,Organism/Species	"[{""token"": ""Klebsormidium flaccidum"", ""start_span"": 118, ""end_span"": 141, ""type"": ""Organism/Species""}, {""token"": ""Stichococcus bacillaris"", ""start_span"": 161, ""end_span"": 184, ""type"": ""Organism/Species""}]"	train
By the 1980s, Florida panthers ( Puma concolor coryi) had been reduced to a small, inbred population that appeared to be on the brink of extinction.	Florida panthers,14,30,Organism/Species	Puma concolor coryi,33,52,Organism/Species	"[{""token"": ""Florida panthers"", ""start_span"": 14, ""end_span"": 30, ""type"": ""Organism/Species""}, {""token"": ""Puma concolor coryi"", ""start_span"": 33, ""end_span"": 52, ""type"": ""Organism/Species""}]"	train
Analysis of 18 years of breeding data from a colony of the blue - footed booby Sula nebouxii ( Milne - Edwards) showed a delay in onset of breeding when the global Southern Oscillation Index was negative; each unit of the atmospheric pressure differential ( hPa) across the Pacific Ocean meant a delay of 7 days.	blue - footed booby,59,78,Organism/Species	Sula nebouxii,79,92,Organism/Species	"[{""token"": ""blue - footed booby"", ""start_span"": 59, ""end_span"": 78, ""type"": ""Organism/Species""}, {""token"": ""Sula nebouxii"", ""start_span"": 79, ""end_span"": 92, ""type"": ""Organism/Species""}]"	train
Agrobacterium tumefasciens - mediated transformation of the aquatic fungus Blastocladiella emersonii.	Agrobacterium tumefasciens,0,26,Organism/Species	Blastocladiella emersonii,75,100,Organism/Species	"[{""token"": ""Agrobacterium tumefasciens"", ""start_span"": 0, ""end_span"": 26, ""type"": ""Organism/Species""}, {""token"": ""Blastocladiella emersonii"", ""start_span"": 75, ""end_span"": 100, ""type"": ""Organism/Species""}]"	train
Genome - wide analysis of brain transcriptional changes in honey bee ( Apis mellifera L.) queens exposed to carbon dioxide and physical manipulation.	honey bee,59,68,Organism/Species	Apis mellifera,71,85,Organism/Species	"[{""token"": ""honey bee"", ""start_span"": 59, ""end_span"": 68, ""type"": ""Organism/Species""}, {""token"": ""Apis mellifera"", ""start_span"": 71, ""end_span"": 85, ""type"": ""Organism/Species""}]"	train
Comparisons with previous studies of honey bees and female Drosophila indicate that common molecular mechanisms may be responsible for regulating reproductive changes across different mating regimes and insect orders.	honey bees,37,47,Organism/Species	Drosophila,59,69,Organism/Species	"[{""token"": ""honey bees"", ""start_span"": 37, ""end_span"": 47, ""type"": ""Organism/Species""}, {""token"": ""Drosophila"", ""start_span"": 59, ""end_span"": 69, ""type"": ""Organism/Species""}]"	train
We used passive acoustic telemetry and stable isotope analysis to investigate whether specialization in movement and feeding patterns of American alligators ( Alligator mississippiensis) in an oligotrophic subtropical estuary created habitat linkages between marine and estuarine / freshwater food webs.	American alligators,137,156,Organism/Species	Alligator mississippiensis,159,185,Organism/Species	"[{""token"": ""American alligators"", ""start_span"": 137, ""end_span"": 156, ""type"": ""Organism/Species""}, {""token"": ""Alligator mississippiensis"", ""start_span"": 159, ""end_span"": 185, ""type"": ""Organism/Species""}]"	train
Here, we describe fitness consequences of three phenotypically plastic ARTs in the African striped mouse ( Rhabdomys pumilio) and show that relative fitness of ARTs differs between years.	African striped mouse,83,104,Organism/Species	Rhabdomys pumilio,107,124,Organism/Species	"[{""token"": ""African striped mouse"", ""start_span"": 83, ""end_span"": 104, ""type"": ""Organism/Species""}, {""token"": ""Rhabdomys pumilio"", ""start_span"": 107, ""end_span"": 124, ""type"": ""Organism/Species""}]"	train
The genus Strigomonas included former Crithidia oncopelti and Blastocrithidia culicis plus a new species.	Crithidia oncopelti,38,57,Organism/Species	Blastocrithidia culicis,62,85,Organism/Species	"[{""token"": ""Crithidia oncopelti"", ""start_span"": 38, ""end_span"": 57, ""type"": ""Organism/Species""}, {""token"": ""Blastocrithidia culicis"", ""start_span"": 62, ""end_span"": 85, ""type"": ""Organism/Species""}]"	train
We used a multiple - scale approach combining field observations, experimental infections and dynamic population modelling to investigate whether native Acanthocephalus galaxii acquisition by brown trout alters host - parasite dynamics in native roundhead galaxias.	brown trout,192,203,Organism/Species	roundhead galaxias,246,264,Organism/Species	"[{""token"": ""brown trout"", ""start_span"": 192, ""end_span"": 203, ""type"": ""Organism/Species""}, {""token"": ""roundhead galaxias"", ""start_span"": 246, ""end_span"": 264, ""type"": ""Organism/Species""}]"	train
Field observations demonstrated higher infection intensity in introduced trout than in native galaxias, but only small, immature A. galaxii were present in trout.	native galaxias,87,102,Organism/Species	trout,156,161,Organism/Species	"[{""token"": ""native galaxias"", ""start_span"": 87, ""end_span"": 102, ""type"": ""Organism/Species""}, {""token"": ""trout"", ""start_span"": 156, ""end_span"": 161, ""type"": ""Organism/Species""}]"	train
However, dynamic population modelling predicts that A. galaxii infections in native galaxias should at most only be slightly reduced by dilution in the presence of trout.	galaxias,84,92,Organism/Species	trout,164,169,Organism/Species	"[{""token"": ""galaxias"", ""start_span"": 84, ""end_span"": 92, ""type"": ""Organism/Species""}, {""token"": ""trout"", ""start_span"": 164, ""end_span"": 169, ""type"": ""Organism/Species""}]"	train
Causal involvement of mammalian - type cryptochrome in the circadian cuticle deposition rhythm in the bean bug Riptortus pedestris.	bean bug,102,110,Organism/Species	Riptortus pedestris,111,130,Organism/Species	"[{""token"": ""bean bug"", ""start_span"": 102, ""end_span"": 110, ""type"": ""Organism/Species""}, {""token"": ""Riptortus pedestris"", ""start_span"": 111, ""end_span"": 130, ""type"": ""Organism/Species""}]"	train
In the present study, we show that RNA interference ( RNAi) targeting of cry - m in the bean bug Riptortus pedestris disrupts the circadian clock governing the cuticle deposition rhythm and results in the generation of a single cuticle layer.	bean bug,88,96,Organism/Species	Riptortus pedestris,97,116,Organism/Species	"[{""token"": ""bean bug"", ""start_span"": 88, ""end_span"": 96, ""type"": ""Organism/Species""}, {""token"": ""Riptortus pedestris"", ""start_span"": 97, ""end_span"": 116, ""type"": ""Organism/Species""}]"	train
They show that increasing ice cover correlates with lower trout biomass when Arctic charr co - occur, but not in charr ' s absence.	Arctic charr,77,89,Organism/Species	charr ' s,113,122,Organism/Species	"[{""token"": ""Arctic charr"", ""start_span"": 77, ""end_span"": 89, ""type"": ""Organism/Species""}, {""token"": ""charr ' s"", ""start_span"": 113, ""end_span"": 122, ""type"": ""Organism/Species""}]"	train
We found that inland red foxes primarily subsisted on reindeer carrions during the low phase of a small rodent population cycle.	red foxes,21,30,Organism/Species	reindeer,54,62,Organism/Species	"[{""token"": ""red foxes"", ""start_span"": 21, ""end_span"": 30, ""type"": ""Organism/Species""}, {""token"": ""reindeer"", ""start_span"": 54, ""end_span"": 62, ""type"": ""Organism/Species""}]"	train
Here, we examine the relationship between exploration behaviour - an axis of personality that appears to be important in animals generally - and a variety of dispersal processes over 6 years in a population of the great tit Parus major.	great tit,214,223,Organism/Species	Parus major,224,235,Organism/Species	"[{""token"": ""great tit"", ""start_span"": 214, ""end_span"": 223, ""type"": ""Organism/Species""}, {""token"": ""Parus major"", ""start_span"": 224, ""end_span"": 235, ""type"": ""Organism/Species""}]"	train
They show amino acid sequence conservation from mosquitoes to humans, and their transcripts are highly enriched in Aedes aegypti during arbovirus infection.	humans,62,68,Organism/Species	Aedes aegypti,115,128,Organism/Species	"[{""token"": ""humans"", ""start_span"": 62, ""end_span"": 68, ""type"": ""Organism/Species""}, {""token"": ""Aedes aegypti"", ""start_span"": 115, ""end_span"": 128, ""type"": ""Organism/Species""}]"	train
Transient gene silencing of SV2 or UNC93A in mosquitoes infected with the recombinant alphavirus Sindbis MRE16 - enhanced green fluorescent protein ( SINV; family Togaviridae) resulted in the accumulation of viral positive - and negative - strand RNA, congregation of virus envelope antigen in intracellular networks, and reduced virus dissemination outside of the midgut.	Sindbis,97,104,Organism/Species	SINV,150,154,Organism/Species	"[{""token"": ""Sindbis"", ""start_span"": 97, ""end_span"": 104, ""type"": ""Organism/Species""}, {""token"": ""SINV"", ""start_span"": 150, ""end_span"": 154, ""type"": ""Organism/Species""}]"	train
The maize weevil, Sitophilus zeamais, is the most important pest affecting stored grain in Brazil and its control relies heavily on the use of insecticides.	maize weevil,4,16,Organism/Species	Sitophilus zeamais,18,36,Organism/Species	"[{""token"": ""maize weevil"", ""start_span"": 4, ""end_span"": 16, ""type"": ""Organism/Species""}, {""token"": ""Sitophilus zeamais"", ""start_span"": 18, ""end_span"": 36, ""type"": ""Organism/Species""}]"	train
Phylogenetic analysis based on LSU rDNA showed that the sequence of G. myriopyrenoides was included in the Gymnodiniales sensu stricto clade and had special affinities with the species Amphidinium poecilochroum and Gymnodinium acidotum, which also harbor kleptochloroplasts.	Amphidinium poecilochroum,185,210,Organism/Species	Gymnodinium acidotum,215,235,Organism/Species	"[{""token"": ""Amphidinium poecilochroum"", ""start_span"": 185, ""end_span"": 210, ""type"": ""Organism/Species""}, {""token"": ""Gymnodinium acidotum"", ""start_span"": 215, ""end_span"": 235, ""type"": ""Organism/Species""}]"	train
The hepatitis D virion is composed of a coat of HBV envelope proteins surrounding the nucleocapsid, which consists of a single - stranded, circular RNA genome complexed with delta antigen, the viral protein.	hepatitis D,4,15,Organism/Species	HBV,48,51,Organism/Species	"[{""token"": ""hepatitis D"", ""start_span"": 4, ""end_span"": 15, ""type"": ""Organism/Species""}, {""token"": ""HBV"", ""start_span"": 48, ""end_span"": 51, ""type"": ""Organism/Species""}]"	train
HDV is clinically important because although it suppresses HBV replication, it causes severe liver disease with rapid progression to cirrhosis and hepatic decompensation.	HDV,0,3,Organism/Species	HBV,59,62,Organism/Species	"[{""token"": ""HDV"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Organism/Species""}, {""token"": ""HBV"", ""start_span"": 59, ""end_span"": 62, ""type"": ""Organism/Species""}]"	train
It has been demonstrated, previously, that a MAT gene from homothallic Cochliobolus luttrellii can confer self - mating ability on a mat - deleted strain of its heterothallic relative, Cochliobolus heterostrophus.	Cochliobolus luttrellii,71,94,Organism/Species	Cochliobolus heterostrophus,185,212,Organism/Species	"[{""token"": ""Cochliobolus luttrellii"", ""start_span"": 71, ""end_span"": 94, ""type"": ""Organism/Species""}, {""token"": ""Cochliobolus heterostrophus"", ""start_span"": 185, ""end_span"": 212, ""type"": ""Organism/Species""}]"	train
We also assessed the phenotypic contribution to this rate, by using radio telemetry to make repeated measurements of interclutch intervals for individual green turtles ( Chelonia mydas).	green turtles,154,167,Organism/Species	Chelonia mydas,170,184,Organism/Species	"[{""token"": ""green turtles"", ""start_span"": 154, ""end_span"": 167, ""type"": ""Organism/Species""}, {""token"": ""Chelonia mydas"", ""start_span"": 170, ""end_span"": 184, ""type"": ""Organism/Species""}]"	train
Host plant effects on alkaline phosphatase activity in the whiteflies, Bemisia tabaci Biotype B and Trialeurodes vaporariorum.	Bemisia tabaci,71,85,Organism/Species	Trialeurodes vaporariorum,100,125,Organism/Species	"[{""token"": ""Bemisia tabaci"", ""start_span"": 71, ""end_span"": 85, ""type"": ""Organism/Species""}, {""token"": ""Trialeurodes vaporariorum"", ""start_span"": 100, ""end_span"": 125, ""type"": ""Organism/Species""}]"	train
Bemisia tabaci ( Gennadius) B - biotype and Trialeurodes vaporariorum ( Westwood) ( Hemiptera: Aleyrodidae) often coexist on greenhouse - grown vegetable crops in northern China.	Bemisia tabaci,0,14,Organism/Species	Trialeurodes vaporariorum,44,69,Organism/Species	"[{""token"": ""Bemisia tabaci"", ""start_span"": 0, ""end_span"": 14, ""type"": ""Organism/Species""}, {""token"": ""Trialeurodes vaporariorum"", ""start_span"": 44, ""end_span"": 69, ""type"": ""Organism/Species""}]"	train
After - 120 h, feeding on tomato and cotton alkaline phosphatase activity in the B - biotype was significantly higher than that of T. vaporariorum.	tomato,26,32,Organism/Species	cotton,37,43,Organism/Species	"[{""token"": ""tomato"", ""start_span"": 26, ""end_span"": 32, ""type"": ""Organism/Species""}, {""token"": ""cotton"", ""start_span"": 37, ""end_span"": 43, ""type"": ""Organism/Species""}]"	train
Eight isoline colonies of Anopheles peditaeniatus Leicester ( Diptera: Culicidae) were established from wild - caught females collected from buffalo - baited traps at 8 localities in Thailand.	Anopheles peditaeniatus,26,49,Organism/Species	buffalo,141,148,Organism/Species	"[{""token"": ""Anopheles peditaeniatus"", ""start_span"": 26, ""end_span"": 49, ""type"": ""Organism/Species""}, {""token"": ""buffalo"", ""start_span"": 141, ""end_span"": 148, ""type"": ""Organism/Species""}]"	train
A review of the implications of heterozygosity and inbreeding on germplasm biodiversity and its conservation in the silkworm, Bombyx mori.	silkworm,116,124,Organism/Species	Bombyx mori,126,137,Organism/Species	"[{""token"": ""silkworm"", ""start_span"": 116, ""end_span"": 124, ""type"": ""Organism/Species""}, {""token"": ""Bombyx mori"", ""start_span"": 126, ""end_span"": 137, ""type"": ""Organism/Species""}]"	train
Through this project the importance of post - egression feeding in the development of T. nigriceps in its host the tobacco budworm, Heliothis virescens Fabricius ( Lepidoptera: Noctuidae), has been evaluated.	tobacco budworm,115,130,Organism/Species	Heliothis virescens,132,151,Organism/Species	"[{""token"": ""tobacco budworm"", ""start_span"": 115, ""end_span"": 130, ""type"": ""Organism/Species""}, {""token"": ""Heliothis virescens"", ""start_span"": 132, ""end_span"": 151, ""type"": ""Organism/Species""}]"	train
Overall, of the larvae exposed to soil, 171 ( 20%) hosted Beauveria bassiana ( Balsamo) Vuillemin ( Hypocreales: Cordycipitaceae), 25 ( 3%) hosted Metarhizium anisopliae ( Metschnikoff) Sorokin ( Hypocreales: Clavicipitaceae) and 1 ( 0. 1%) hosted lsaria ( = Paecilomyces) sp.	Beauveria bassiana,58,76,Organism/Species	Metarhizium anisopliae,147,169,Organism/Species	"[{""token"": ""Beauveria bassiana"", ""start_span"": 58, ""end_span"": 76, ""type"": ""Organism/Species""}, {""token"": ""Metarhizium anisopliae"", ""start_span"": 147, ""end_span"": 169, ""type"": ""Organism/Species""}]"	train
We tested these predictions with root voles ( Microtus oeconomus) by a manipulation of individual condition through litter - size enlargement and reduction during lactation combined with a manipulation of habitat quality through degradation of the vegetation cover.	root voles,33,43,Organism/Species	Microtus oeconomus,46,64,Organism/Species	"[{""token"": ""root voles"", ""start_span"": 33, ""end_span"": 43, ""type"": ""Organism/Species""}, {""token"": ""Microtus oeconomus"", ""start_span"": 46, ""end_span"": 64, ""type"": ""Organism/Species""}]"	train
Analysis of genetic variation and phylogeny of the predatory bug, Pilophorus typicus, in Japan using mitochondrial gene sequences.	predatory bug,51,64,Organism/Species	Pilophorus typicus,66,84,Organism/Species	"[{""token"": ""predatory bug"", ""start_span"": 51, ""end_span"": 64, ""type"": ""Organism/Species""}, {""token"": ""Pilophorus typicus"", ""start_span"": 66, ""end_span"": 84, ""type"": ""Organism/Species""}]"	train
Eight years after the first successful release of P. curvatus, two biotypes of this species ( one biotype occurring predominantly in the black and hybrid imported fire ants and the other occurring in red imported fire ants) covered almost 60% of the fire ant quarantined area.	black,137,142,Organism/Species	red imported fire ants,200,222,Organism/Species	"[{""token"": ""black"", ""start_span"": 137, ""end_span"": 142, ""type"": ""Organism/Species""}, {""token"": ""red imported fire ants"", ""start_span"": 200, ""end_span"": 222, ""type"": ""Organism/Species""}]"	train
This study was carried out between July 2007 and June 2008 and reports on the occurrence of human myiasis caused by the New World screwworm, Cochliomyia hominivorax ( Coquerel) ( Diptera: Calliphoridae) in Sao Gonsigmaalo in the state of Rio de Janeiro, Brazil.	human,92,97,Organism/Species	Cochliomyia hominivorax,141,164,Organism/Species	"[{""token"": ""human"", ""start_span"": 92, ""end_span"": 97, ""type"": ""Organism/Species""}, {""token"": ""Cochliomyia hominivorax"", ""start_span"": 141, ""end_span"": 164, ""type"": ""Organism/Species""}]"	train
In an area - wide B. cucurbitae suppression trial, the question was raised as to whether cassava, Manihot esculenta Crantz ( Euphorbiales: Euphorbiaceae), could be used as a B. cucurbitae roosting host.	cassava,89,96,Organism/Species	Manihot esculenta,98,115,Organism/Species	"[{""token"": ""cassava"", ""start_span"": 89, ""end_span"": 96, ""type"": ""Organism/Species""}, {""token"": ""Manihot esculenta"", ""start_span"": 98, ""end_span"": 115, ""type"": ""Organism/Species""}]"	train
As a short - lived and shrubby perennial, M. esculenta potentially constitutes a crop with more persistent roosting foliage than an annual crop such as corn, Zea mays L.	corn,152,156,Organism/Species	Zea mays,158,166,Organism/Species	"[{""token"": ""corn"", ""start_span"": 152, ""end_span"": 156, ""type"": ""Organism/Species""}, {""token"": ""Zea mays"", ""start_span"": 158, ""end_span"": 166, ""type"": ""Organism/Species""}]"	train
Using protein - baited traps set amidst potted plants placed adjacent to a papaya Carica papaya L.	papaya,75,81,Organism/Species	Carica papaya,82,95,Organism/Species	"[{""token"": ""papaya"", ""start_span"": 75, ""end_span"": 81, ""type"": ""Organism/Species""}, {""token"": ""Carica papaya"", ""start_span"": 82, ""end_span"": 95, ""type"": ""Organism/Species""}]"	train
This has the advantage of having the trap crop be a crop on its own ( as opposed to castor bean) and, among prospective crops that could be used as a trap crop, has foliage more persistent than an annual trap crop such as corn.	castor bean,84,95,Organism/Species	corn,222,226,Organism/Species	"[{""token"": ""castor bean"", ""start_span"": 84, ""end_span"": 95, ""type"": ""Organism/Species""}, {""token"": ""corn"", ""start_span"": 222, ""end_span"": 226, ""type"": ""Organism/Species""}]"	train
The experiments and observations in this paper reveal in broad strokes how colonies of the fire ant, Solenopsis invicta Buren ( Hymenoptera: Formicidae), allocate their available labor to foraging, how they disperse that force within their territory, and how this force changes with colony size, season and worker age.	Solenopsis invicta,101,119,Organism/Species	Hymenoptera,128,139,Organism/Species	"[{""token"": ""Solenopsis invicta"", ""start_span"": 101, ""end_span"": 119, ""type"": ""Organism/Species""}, {""token"": ""Hymenoptera"", ""start_span"": 128, ""end_span"": 139, ""type"": ""Organism/Species""}]"	train
Using a gene discovery approach, we have identified genes relating to signalling, enzymatic processes and respiration that were up - regulated in the bumblebee, Bombus terrestris, during infection with the trypanosomatid parasite, Crithidia bombi.	Bombus terrestris,161,178,Organism/Species	Crithidia bombi,231,246,Organism/Species	"[{""token"": ""Bombus terrestris"", ""start_span"": 161, ""end_span"": 178, ""type"": ""Organism/Species""}, {""token"": ""Crithidia bombi"", ""start_span"": 231, ""end_span"": 246, ""type"": ""Organism/Species""}]"	train
Intestinal ciliate composition found in the feces of the Turk rahvan horse Equus caballus, Linnaeus 1758.	Turk rahvan horse,57,74,Organism/Species	Equus caballus,75,89,Organism/Species	"[{""token"": ""Turk rahvan horse"", ""start_span"": 57, ""end_span"": 74, ""type"": ""Organism/Species""}, {""token"": ""Equus caballus"", ""start_span"": 75, ""end_span"": 89, ""type"": ""Organism/Species""}]"	train
Compatible interaction with its rice host leads to enhanced expression of the gamma subunit of oligosaccharyl transferase in the Asian rice gall midge, Orseolia oryzae.	Asian rice gall midge,129,150,Organism/Species	Orseolia oryzae,152,167,Organism/Species	"[{""token"": ""Asian rice gall midge"", ""start_span"": 129, ""end_span"": 150, ""type"": ""Organism/Species""}, {""token"": ""Orseolia oryzae"", ""start_span"": 152, ""end_span"": 167, ""type"": ""Organism/Species""}]"	train
The Asian rice gall midge, Orseolia oryzae, is a fast evolving, damaging pest of rice.	Asian rice gall midge,4,25,Organism/Species	Orseolia oryzae,27,42,Organism/Species	"[{""token"": ""Asian rice gall midge"", ""start_span"": 4, ""end_span"": 25, ""type"": ""Organism/Species""}, {""token"": ""Orseolia oryzae"", ""start_span"": 27, ""end_span"": 42, ""type"": ""Organism/Species""}]"	train
Transcript analysis and comparative evaluation of shaker and slowmo gene homologues from the European corn borer, Ostrinia nubilalis.	European corn borer,93,112,Organism/Species	Ostrinia nubilalis,114,132,Organism/Species	"[{""token"": ""European corn borer"", ""start_span"": 93, ""end_span"": 112, ""type"": ""Organism/Species""}, {""token"": ""Ostrinia nubilalis"", ""start_span"": 114, ""end_span"": 132, ""type"": ""Organism/Species""}]"	train
Two host translation inhibitory factors ( HTIFs) have been proposed in Cotesia plutellae bracovirus ( CpBV).	Cotesia plutellae bracovirus,71,99,Organism/Species	CpBV,102,106,Organism/Species	"[{""token"": ""Cotesia plutellae bracovirus"", ""start_span"": 71, ""end_span"": 99, ""type"": ""Organism/Species""}, {""token"": ""CpBV"", ""start_span"": 102, ""end_span"": 106, ""type"": ""Organism/Species""}]"	train
Cysteine proteinase inhibitors ( CPIs) are involved in many vital cellular processes such as signalling pathways, apoptosis, immune response and development; however, no CPIs have yet been reported from the housefly Musca domestica.	housefly,207,215,Organism/Species	Musca domestica,216,231,Organism/Species	"[{""token"": ""housefly"", ""start_span"": 207, ""end_span"": 215, ""type"": ""Organism/Species""}, {""token"": ""Musca domestica"", ""start_span"": 216, ""end_span"": 231, ""type"": ""Organism/Species""}]"	train
In the budding yeast Saccharomyces cerevisiae, cell cycle progression and cytokinesis at mitotic exit are proposed to be linked by CDC14 phosphatase antagonizing the function of mitotic B - type cyclin ( CLBs).	yeast,15,20,Organism/Species	Saccharomyces cerevisiae,21,45,Organism/Species	"[{""token"": ""yeast"", ""start_span"": 15, ""end_span"": 20, ""type"": ""Organism/Species""}, {""token"": ""Saccharomyces cerevisiae"", ""start_span"": 21, ""end_span"": 45, ""type"": ""Organism/Species""}]"	train
The insulin and insulin - like growth factor ( IGF) signalling ( IIS) pathway in the honey bee ( Apis mellifera) is linked to reproductive division of labour and foraging behaviour.	honey bee,85,94,Organism/Species	Apis mellifera,97,111,Organism/Species	"[{""token"": ""honey bee"", ""start_span"": 85, ""end_span"": 94, ""type"": ""Organism/Species""}, {""token"": ""Apis mellifera"", ""start_span"": 97, ""end_span"": 111, ""type"": ""Organism/Species""}]"	train
The predicted insulin receptor sequences from the recently released draft genome of the fire ant Solenopsis invicta ( Hymenoptera: Formicidae) are incomplete and biologically significant data are also lacking.	fire ant,88,96,Organism/Species	Solenopsis invicta,97,115,Organism/Species	"[{""token"": ""fire ant"", ""start_span"": 88, ""end_span"": 96, ""type"": ""Organism/Species""}, {""token"": ""Solenopsis invicta"", ""start_span"": 97, ""end_span"": 115, ""type"": ""Organism/Species""}]"	train
This study contributes new information to the understanding of social insects because in fire ants juvenile hormone acts as a gonadotropin and workers are fully sterile, contrary to honey bees.	fire ants,89,98,Organism/Species	honey bees,182,192,Organism/Species	"[{""token"": ""fire ants"", ""start_span"": 89, ""end_span"": 98, ""type"": ""Organism/Species""}, {""token"": ""honey bees"", ""start_span"": 182, ""end_span"": 192, ""type"": ""Organism/Species""}]"	train
The transcriptional response of Saccharomyces cerevisiae to proapoptotic concentrations of Pichia membranifaciens killer toxin.	Saccharomyces cerevisiae,32,56,Organism/Species	Pichia membranifaciens,91,113,Organism/Species	"[{""token"": ""Saccharomyces cerevisiae"", ""start_span"": 32, ""end_span"": 56, ""type"": ""Organism/Species""}, {""token"": ""Pichia membranifaciens"", ""start_span"": 91, ""end_span"": 113, ""type"": ""Organism/Species""}]"	train
PMKT ( Pichia membranifaciens killer toxin) reportedly has antimicrobial activity against yeasts and filamentous fungi.	Pichia membranifaciens,7,29,Organism/Species	yeasts,90,96,Organism/Species	"[{""token"": ""Pichia membranifaciens"", ""start_span"": 7, ""end_span"": 29, ""type"": ""Organism/Species""}, {""token"": ""yeasts"", ""start_span"": 90, ""end_span"": 96, ""type"": ""Organism/Species""}]"	train
Insertion of an intact CR1 retrotransposon in a cadherin gene linked with Bt resistance in the pink bollworm, Pectinophora gossypiella.	pink bollworm,95,108,Organism/Species	Pectinophora gossypiella,110,134,Organism/Species	"[{""token"": ""pink bollworm"", ""start_span"": 95, ""end_span"": 108, ""type"": ""Organism/Species""}, {""token"": ""Pectinophora gossypiella"", ""start_span"": 110, ""end_span"": 134, ""type"": ""Organism/Species""}]"	train
